area-name,duoarea,period,process,process-name,product,product-name,series,series-description,units,value
USA-ND,SND,2021,R01,Proved Reserves,EPC0,Crude Oil,RCRR01SND_1,North Dakota Crude Oil Proved Reserves (Million Barrels),MMBBL,4353
NA,RTX01,2021,R10,Production from Reserves,EPC0,Crude Oil,RCRR10RTX01_1,Texas - RRC District 1 Crude Oil Estimated Production from Reserves (Million Barrels),MMBBL,171
NA,RNMWEST,2021,R10,Production from Reserves,EPC0,Crude Oil,RCRR10RNMWEST_1,New Mexico - West Crude Oil Estimated Production from Reserves (Million Barrels),MMBBL,6
NA,RNMEAST,2021,R10,Production from Reserves,EPC0,Crude Oil,RCRR10RNMEAST_1,New Mexico - East Crude Oil Estimated Production from Reserves (Million Barrels),MMBBL,434
NA,RTX03,2021,R10,Production from Reserves,EPC0,Crude Oil,RCRR10RTX03_1,Texas - RRC District 3 Onshore Crude Oil Estimated Production from Reserves (Million Barrels),MMBBL,39
NA,RTX10,2021,R10,Production from Reserves,EPC0,Crude Oil,RCRR10RTX10_1,Texas - RRC District 10 Crude Oil Estimated Production from Reserves (Million Barrels),MMBBL,8
USA-AL,SAL,2021,R10,Production from Reserves,EPC0,Crude Oil,RCRR10SAL_1,Alabama Crude Oil Estimated Production from Reserves (Million Barrels),MMBBL,4
NA,RCAJ,2021,R10,Production from Reserves,EPC0,Crude Oil,RCRR10RCAJ_1,California - San Joaquin Basin Onshore Crude Oil Estimated Production from Reserves (Million Barrels),MMBBL,99
USA-WY,SWY,2021,R07A,Reserves Extensions and Discoveries,EPC0,Crude Oil,RES_EPC0_R07A_SWY_MMBBL,Wyoming Crude Oil Reserves Extensions and Discoveries (Million Barrels),MMBBL,104
USA-MS,SMS,2021,R07A,Reserves Extensions and Discoveries,EPC0,Crude Oil,RES_EPC0_R07A_SMS_MMBBL,Mississippi Crude Oil Reserves Extensions and Discoveries (Million Barrels),MMBBL,3
USA-KY,SKY,2021,R07A,Reserves Extensions and Discoveries,EPC0,Crude Oil,RES_EPC0_R07A_SKY_MMBBL,Kentucky Crude Oil Reserves Extensions and Discoveries (Million Barrels),MMBBL,0
USA-MI,SMI,2021,R07A,Reserves Extensions and Discoveries,EPC0,Crude Oil,RES_EPC0_R07A_SMI_MMBBL,Michigan Crude Oil Reserves Extensions and Discoveries (Million Barrels),MMBBL,1
NA,RTX07C,2021,R07A,Reserves Extensions and Discoveries,EPC0,Crude Oil,RES_EPC0_R07A_RTX07C_MMBBL,Texas - RRC District 7C Crude Oil Reserves Extensions and Discoveries (Million Barrels),MMBBL,324
U.S.,NUS,2021,R07A,Reserves Extensions and Discoveries,EPC0,Crude Oil,RES_EPC0_R07A_NUS_MMBBL,U.S. Crude Oil Reserves Extensions and Discoveries  (Million Barrels),MMBBL,5736
USA-UT,SUT,2021,R07A,Reserves Extensions and Discoveries,EPC0,Crude Oil,RES_EPC0_R07A_SUT_MMBBL,Utah Crude Oil Reserves Extensions and Discoveries (Million Barrels),MMBBL,109
CALIFORNIA,SCA,2021,R07A,Reserves Extensions and Discoveries,EPC0,Crude Oil,RES_EPC0_R07A_SCA_MMBBL,California Crude Oil Reserves Extensions and Discoveries (Million Barrels),MMBBL,26
NA,RTX03,2021,R07A,Reserves Extensions and Discoveries,EPC0,Crude Oil,RES_EPC0_R07A_RTX03_MMBBL,Texas - RRC District 3 Onshore Crude Oil Reserves Extensions and Discoveries (Million Barrels),MMBBL,37
NA,RTX04,2021,R07A,Reserves Extensions and Discoveries,EPC0,Crude Oil,RES_EPC0_R07A_RTX04_MMBBL,Texas - RRC District 4 Onshore Crude Oil Reserves Extensions and Discoveries (Million Barrels),MMBBL,0
NA,R1901F,2021,R07A,Reserves Extensions and Discoveries,EPC0,Crude Oil,RES_EPC0_R07A_R1901F_MMBBL,Gulf of America Federal Offshore  (Central & Eastern) Crude Oil Reserves Extensions and Discoveries (Million Barrels),MMBBL,27
USA-AK,SAK,2021,R07A,Reserves Extensions and Discoveries,EPC0,Crude Oil,RES_EPC0_R07A_SAK_MMBBL,Alaska Crude Oil Reserves Extensions and Discoveries (Million Barrels),MMBBL,164
USA-ND,SND,2021,R06,Reserves Acquisitions,EPC0,Crude Oil,RCRR06SND_1,North Dakota Crude Oil Reserves Acquisitions (Million Barrels),MMBBL,381
USA-AL,SAL,2021,R06,Reserves Acquisitions,EPC0,Crude Oil,RCRR06SAL_1,Alabama Crude Oil Reserves Acquisitions (Million Barrels),MMBBL,0
NA,RLASO,2021,R06,Reserves Acquisitions,EPC0,Crude Oil,RCRR06RLASO_1,Louisiana - South Onshore Crude Oil Reserves Acquisitions (Million Barrels),MMBBL,2
TEXAS,STX,2021,R06,Reserves Acquisitions,EPC0,Crude Oil,RCRR06STX_1,Texas Crude Oil Reserves Acquisitions (Million Barrels),MMBBL,2594
USA-MT,SMT,2021,R06,Reserves Acquisitions,EPC0,Crude Oil,RCRR06SMT_1,Montana Crude Oil Reserves Acquisitions (Million Barrels),MMBBL,13
NA,R5F,2021,R06,Reserves Acquisitions,EPC0,Crude Oil,RCRR06R5F_1,California Federal Offshore Crude Oil Reserves Acquisitions (Million Barrels),MMBBL,0
NA,RTXSF,2021,R06,Reserves Acquisitions,EPC0,Crude Oil,RCRR06RTXSF_1,Texas State Offshore Crude Oil Reserves Acquisitions (Million Barrels),MMBBL,0
NA,RTX06,2021,R05,Reserves Sales,EPC0,Crude Oil,RCRR05RTX06_1,Texas - RRC District 6 Crude Oil Reserves Divestitures (Million Barrels),MMBBL,0
NA,RCAC,2021,R05,Reserves Sales,EPC0,Crude Oil,RCRR05RCAC_1,California - Coastal Region Onshore Crude Oil Reserves Divestitures (Million Barrels),MMBBL,10
USA-AK,SAK,2021,R05,Reserves Sales,EPC0,Crude Oil,RCRR05SAK_1,Alaska Crude Oil Reserves Divestitures (Million Barrels),MMBBL,0
